idRandomization,numberOfNodes,benchmark,bytesPerBlock,replicationLevel,bytesPerRank,blocksPerPermutationRange,promilleOfRanksThatFail,iterations,real_time,cpu_time,time_unit
TRUE,128,pullBlocksSmallRange,64,4,16777216,1,10,1,860.337,1016.85,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,1,10,1,862.541,974.864,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,1,10,1,1031.39,1143.72,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,1,10,1,862.539,968.765,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,1,10,1,863.112,975.873,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,2,10,1,746.189,848.403,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,2,10,1,746.86,850.215,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,2,10,1,745.825,855.199,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,2,10,1,746.049,836.1,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,2,10,1,746.122,840.056,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,4,10,11,149.558,157.755,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,4,10,11,147.907,157.326,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,4,10,11,163.578,172.434,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,4,10,11,187.184,196.935,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,4,10,11,148.667,156.807,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,8,10,19,40.8611,46.3268,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,8,10,19,34.4482,39.8023,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,8,10,19,36.8995,42.2913,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,8,10,19,37.1866,42.5226,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,8,10,19,37.1097,42.4962,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,16,10,40,21.1456,24.0212,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,16,10,40,21.4434,24.2636,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,16,10,40,21.3692,24.1964,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,16,10,40,20.7972,23.6206,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,16,10,40,21.5767,24.4259,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,32,10,71,11.7263,13.2765,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,32,10,71,12.151,13.6948,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,32,10,71,11.8571,13.3927,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,32,10,71,12.2359,13.7869,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,32,10,71,11.9737,13.5439,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,64,10,114,7.75754,8.75676,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,64,10,114,7.27804,8.26767,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,64,10,114,7.32394,8.31287,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,64,10,114,7.33577,8.31304,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,64,10,114,7.2727,8.25593,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,128,10,129,5.59602,6.56298,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,128,10,129,5.54403,6.58975,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,128,10,129,5.55543,6.5231,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,128,10,129,5.57599,6.50376,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,128,10,129,5.69919,6.6032,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,256,10,213,3.22491,3.84185,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,256,10,213,3.31384,3.8575,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,256,10,213,3.35379,3.92708,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,256,10,213,3.37836,3.98505,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,256,10,213,3.33827,3.93732,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,512,10,261,2.65113,3.10548,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,512,10,261,2.65873,3.15852,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,512,10,261,2.70472,3.16681,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,512,10,261,2.57785,3.03108,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,512,10,261,2.50411,3.02822,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,1024,10,291,2.32765,2.74826,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,1024,10,291,2.35105,2.7852,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,1024,10,291,2.37843,2.82391,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,1024,10,291,2.41642,2.86261,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,1024,10,291,2.4261,2.87302,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,2048,10,281,2.32343,2.75124,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,2048,10,281,2.37786,2.84587,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,2048,10,281,2.42557,2.83992,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,2048,10,281,2.38093,2.84873,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,2048,10,281,2.35053,2.8183,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,4096,10,296,2.27328,2.66214,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,4096,10,296,2.25043,2.65444,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,4096,10,296,2.25093,2.63318,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,4096,10,296,2.27505,2.65877,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,4096,10,296,2.27975,2.64194,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,8192,10,294,2.32807,2.69063,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,8192,10,294,2.29231,2.67721,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,8192,10,294,2.30377,2.70384,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,8192,10,294,2.29507,2.66054,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,8192,10,294,2.32898,2.70053,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,16384,10,298,2.32414,2.71402,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,16384,10,298,2.33148,2.70936,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,16384,10,298,2.3063,2.66547,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,16384,10,298,2.28858,2.68567,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,16384,10,298,2.34433,2.72806,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,32768,10,271,2.3893,2.78446,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,32768,10,271,2.46821,2.84209,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,32768,10,271,2.41915,2.81498,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,32768,10,271,2.41698,2.80841,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,32768,10,271,2.43831,2.82008,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,65536,10,260,2.54015,2.9976,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,65536,10,260,2.53986,3.0074,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,65536,10,260,2.58525,3.04325,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,65536,10,260,2.57778,3.04116,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,65536,10,260,2.54971,3.02686,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,131072,10,220,3.13947,3.66899,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,131072,10,220,3.1246,3.6275,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,131072,10,220,3.11466,3.63706,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,131072,10,220,3.13496,3.66812,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,131072,10,220,3.12196,3.67109,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,262144,10,153,4.47545,5.24919,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,262144,10,153,4.48112,5.21896,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,262144,10,153,4.43584,5.2022,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,262144,10,153,4.51326,5.2246,ms
TRUE,128,pullBlocksSmallRange,64,4,16777216,262144,10,153,4.44327,5.16995,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,1,10,14,41.3035,49.3691,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,1,10,14,44.9368,51.9942,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,1,10,14,44.1144,51.2806,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,1,10,14,40.9093,48.2191,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,1,10,14,43.5654,51.342,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,2,10,26,26.1223,29.4872,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,2,10,26,25.8005,29.4503,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,2,10,26,24.1849,27.683,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,2,10,26,22.9519,26.4443,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,2,10,26,23.9416,27.5165,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,4,10,50,13.2898,15.0849,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,4,10,50,14.0073,15.8949,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,4,10,50,14.2498,16.1079,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,4,10,50,13.0837,16.9417,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,4,10,50,13.1544,14.9239,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,8,10,85,8.28751,9.35283,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,8,10,85,8.08988,9.16478,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,8,10,85,7.78041,9.87029,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,8,10,85,8.75248,9.8641,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,8,10,85,8.11499,9.21086,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,16,10,110,4.9583,6.00839,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,16,10,110,5.03264,6.07046,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,16,10,110,4.92576,6.02035,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,16,10,110,5.7635,6.82574,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,16,10,110,4.96817,5.92869,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,32,10,205,3.56816,4.1571,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,32,10,205,3.5588,4.15836,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,32,10,205,3.42667,4.03706,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,32,10,205,3.44176,4.05135,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,32,10,205,3.47477,4.0328,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,64,10,255,2.70212,3.13811,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,64,10,255,2.63856,3.07024,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,64,10,255,2.70405,3.17081,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,64,10,255,2.59364,3.07146,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,64,10,255,2.61462,3.08338,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,128,10,309,2.12666,2.52744,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,128,10,309,2.13723,2.52423,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,128,10,309,2.21351,2.61748,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,128,10,309,2.21219,2.57602,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,128,10,309,2.18096,2.56858,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,256,10,382,1.78472,2.12653,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,256,10,382,1.80632,2.12879,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,256,10,382,1.81442,2.14139,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,256,10,382,1.79598,2.12101,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,256,10,382,1.82238,2.18812,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,512,10,433,1.64921,1.93607,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,512,10,433,1.62757,1.92251,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,512,10,433,1.63141,1.90592,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,512,10,433,1.63093,1.93559,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,512,10,433,1.62352,1.91094,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,1024,10,393,1.75061,2.05233,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,1024,10,393,1.83874,2.16455,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,1024,10,393,1.79146,2.08603,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,1024,10,393,1.79409,2.09797,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,1024,10,393,1.79269,2.04806,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,2048,10,376,1.86796,2.18833,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,2048,10,376,1.8191,2.08719,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,2048,10,376,1.89818,2.21812,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,2048,10,376,1.83682,2.13783,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,2048,10,376,1.84933,2.16818,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,4096,10,382,1.83783,2.13734,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,4096,10,382,1.89787,2.2121,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,4096,10,382,1.84785,2.13599,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,4096,10,382,1.8478,2.14227,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,4096,10,382,1.84208,2.15032,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,8192,10,354,1.96797,2.31425,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,8192,10,354,1.99814,2.34253,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,8192,10,354,2.01538,2.37065,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,8192,10,354,1.97915,2.32037,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,8192,10,354,1.97831,2.3174,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,16384,10,328,2.09074,2.46649,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,16384,10,328,2.06531,2.42267,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,16384,10,328,2.04331,2.40404,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,16384,10,328,2.07114,2.42724,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,16384,10,328,2.08597,2.43053,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,32768,10,331,2.05075,2.40498,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,32768,10,331,2.11672,2.46637,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,32768,10,331,2.10968,2.4324,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,32768,10,331,2.09875,2.42322,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,32768,10,331,2.11802,2.45809,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,65536,10,282,2.41945,2.80803,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,65536,10,282,2.33971,2.73679,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,65536,10,282,2.36473,2.77865,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,65536,10,282,2.36845,2.75796,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,65536,10,282,2.33709,2.75777,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,131072,10,238,2.95971,3.41957,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,131072,10,238,2.93884,3.4428,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,131072,10,238,2.88723,3.36371,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,131072,10,238,2.91208,3.39821,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,131072,10,238,2.91695,3.38998,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,262144,10,180,3.8534,4.44668,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,262144,10,180,3.9082,4.50132,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,262144,10,180,3.82432,4.43585,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,262144,10,180,3.86291,4.46488,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,262144,10,180,3.79016,4.39109,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1,10,82,8.76506,8.8175,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1,10,82,8.56463,8.60844,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1,10,82,8.52829,8.5437,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1,10,82,8.57652,8.61337,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1,10,82,8.54767,8.59316,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2,10,130,5.29884,5.33045,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2,10,130,5.31065,5.32538,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2,10,130,5.33179,5.37745,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2,10,130,5.30171,5.33219,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2,10,130,5.31394,5.33071,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4,10,231,3.03046,3.05209,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4,10,231,3.02627,3.04029,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4,10,231,3.02892,3.05254,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4,10,231,3.18932,3.20723,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4,10,231,3.02872,3.04842,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8,10,314,2.22141,2.24094,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8,10,314,2.22365,2.24695,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8,10,314,2.22775,2.24506,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8,10,314,2.2259,2.24763,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8,10,314,2.22802,2.24709,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16,10,408,1.71987,1.73973,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16,10,408,1.71492,1.74243,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16,10,408,1.72145,1.73641,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16,10,408,1.71957,1.73333,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16,10,408,1.71598,1.73969,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32,10,451,1.54608,1.56149,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32,10,451,1.54535,1.56084,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32,10,451,1.54337,1.57664,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32,10,451,1.54722,1.56424,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32,10,451,1.54259,1.56589,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,64,10,541,1.28745,1.33917,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,64,10,541,1.287,1.30707,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,64,10,541,1.28798,1.30407,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,64,10,541,1.2874,1.31261,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,64,10,541,1.2879,1.30855,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,128,10,683,1.01863,1.05704,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,128,10,683,1.02154,1.06029,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,128,10,683,1.02008,1.03376,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,128,10,683,1.01949,1.03326,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,128,10,683,1.01883,1.05786,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,256,10,880,0.789573,0.803257,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,256,10,880,0.789711,0.804988,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,256,10,880,0.788993,0.807523,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,256,10,880,0.790241,0.806415,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,256,10,880,0.789816,0.805627,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,512,10,1025,0.675943,0.699713,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,512,10,1025,0.677131,0.693741,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,512,10,1025,0.676713,0.69024,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,512,10,1025,0.676795,0.692439,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,512,10,1025,0.676026,0.689459,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1024,10,1115,0.624844,0.640732,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1024,10,1115,0.624377,0.640418,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1024,10,1115,0.624544,0.640806,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1024,10,1115,0.624962,0.644537,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1024,10,1115,0.624601,0.63882,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2048,10,1125,0.621933,0.636233,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2048,10,1125,0.622617,0.638269,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2048,10,1125,0.62287,0.637108,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2048,10,1125,0.621666,0.636454,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2048,10,1125,0.633069,0.646756,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4096,10,1071,0.649466,0.664922,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4096,10,1071,0.645949,0.661194,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4096,10,1071,0.649133,0.664698,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4096,10,1071,0.680957,0.697482,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4096,10,1071,0.650031,0.665323,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8192,10,886,0.789587,0.811205,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8192,10,886,0.787688,0.81019,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8192,10,886,0.795917,0.817903,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8192,10,886,0.787981,0.808444,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8192,10,886,0.792844,0.813229,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16384,10,864,0.822904,0.841908,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16384,10,864,0.821634,0.838367,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16384,10,864,0.822617,0.841678,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16384,10,864,0.823497,0.839822,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16384,10,864,0.822494,0.840486,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32768,10,733,0.977114,0.99222,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32768,10,733,0.974251,0.989886,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32768,10,733,0.979912,0.995568,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32768,10,733,0.974546,0.989582,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32768,10,733,0.976221,0.991609,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,65536,10,619,1.12307,1.1442,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,65536,10,619,1.12473,1.14562,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,65536,10,619,1.12469,1.14526,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,65536,10,619,1.1237,1.14557,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,65536,10,619,1.12533,1.14628,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,131072,10,506,1.34062,1.37307,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,131072,10,506,1.34365,1.37457,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,131072,10,506,1.34167,1.37362,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,131072,10,506,1.34288,1.3738,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,131072,10,506,1.36064,1.39247,ms
